Category	Gene symbol
ECM Regulators	SERPINC1
ECM Regulators	SERPIND1
ECM Regulators	SERPINE1
ECM Regulators	SERPINE2
ECM Regulators	SERPINE3
ECM Regulators	SERPINF1
ECM Regulators	SERPINF2
ECM Regulators	SERPING1
ECM Regulators	SERPINH1
ECM Regulators	SERPINI1
ECM Regulators	SERPINI2
ECM Regulators	SLPI
ECM Regulators	SPAM1
ECM Regulators	ST14
ECM Regulators	SULF1
ECM Regulators	SULF2
ECM Regulators	TGM1
ECM Regulators	TGM2
ECM Regulators	TGM3
ECM Regulators	TGM4
ECM Regulators	TGM5
ECM Regulators	TGM6
ECM Regulators	TGM7
ECM Regulators	TIMP1
ECM Regulators	TIMP2
ECM Regulators	TIMP3
ECM Regulators	TIMP4
ECM Regulators	TLL1
ECM Regulators	TLL2
ECM Regulators	TRY5
Secreted Factors	AMH
Secreted Factors	ANGPT1
Secreted Factors	ANGPT2
Secreted Factors	ANGPT4
Secreted Factors	ANGPTL1
Secreted Factors	ANGPTL2
Secreted Factors	ANGPTL3
Secreted Factors	ANGPTL4
Secreted Factors	ANGPTL5
Secreted Factors	ANGPTL6
Secreted Factors	ANGPTL7
Secreted Factors	AREG
Secreted Factors	ARTN
Secreted Factors	BDNF
Secreted Factors	BMP10
Secreted Factors	BMP15
Secreted Factors	BMP2
Secreted Factors	BMP3
Secreted Factors	BMP4
Secreted Factors	BMP5
Secreted Factors	BMP6
Secreted Factors	BMP7
Secreted Factors	BMP8A
Secreted Factors	BMP8B
Secreted Factors	BTC
Secreted Factors	CBLN1
Secreted Factors	CBLN2
Secreted Factors	CBLN3
Secreted Factors	CBLN4
Secreted Factors	CCBE1
Secreted Factors	CCL1
Secreted Factors	CCL11
Secreted Factors	CCL13
Secreted Factors	CCL14
Secreted Factors	CCL15
Secreted Factors	CCL16
Secreted Factors	CCL17
Secreted Factors	CCL18
Secreted Factors	CCL19
Secreted Factors	CCL2
Secreted Factors	CCL20
Secreted Factors	CCL21
Secreted Factors	CCL22
Secreted Factors	CCL23
Secreted Factors	CCL24
Secreted Factors	CCL25
Secreted Factors	CCL26
Secreted Factors	CCL27
Secreted Factors	CCL28
Secreted Factors	CCL3
Secreted Factors	CCL3L3
Secreted Factors	CCL4
Secreted Factors	CCL4L1
Secreted Factors	CCL4L2
Secreted Factors	CCL5
Secreted Factors	CCL7
Secreted Factors	CCL8
Secreted Factors	CFC1
Secreted Factors	CFC1B
Secreted Factors	CHRD
Secreted Factors	CHRDL1
Secreted Factors	CHRDL2
Secreted Factors	CLCF1
Secreted Factors	CNTF
Secreted Factors	CRHBP
Secreted Factors	CRLF1
Secreted Factors	CRLF3
Secreted Factors	CRNN
Secreted Factors	CSF1
Secreted Factors	CSF2
Secreted Factors	CSF3
Secreted Factors	CSH1
Secreted Factors	CSH2
Secreted Factors	CSHL1
Secreted Factors	CTF1
Secreted Factors	CTF2P
Secreted Factors	CX3CL1
Secreted Factors	CXCL1
Secreted Factors	CXCL10
Secreted Factors	CXCL11
Secreted Factors	CXCL12
Secreted Factors	CXCL13
Secreted Factors	CXCL14
Secreted Factors	CXCL2
Secreted Factors	CXCL3
Secreted Factors	CXCL5
Secreted Factors	CXCL6
Secreted Factors	CXCL9
Secreted Factors	DHH
Secreted Factors	EBI3
Secreted Factors	EDA
Secreted Factors	EGF
Secreted Factors	EGFL6
Secreted Factors	EGFL7
Secreted Factors	EGFL8
Secreted Factors	EPGN
Secreted Factors	EPO
Secreted Factors	EREG
Secreted Factors	FAM5B
Secreted Factors	FAM5C
Secreted Factors	FASLG
Secreted Factors	FGF1
Secreted Factors	FGF10
Secreted Factors	FGF11
Secreted Factors	FGF12
Secreted Factors	FGF13
Secreted Factors	FGF14
Secreted Factors	FGF16
Secreted Factors	FGF17
Secreted Factors	FGF18
Secreted Factors	FGF19
Secreted Factors	FGF2
Secreted Factors	FGF20
Secreted Factors	FGF21
Secreted Factors	FGF22
Secreted Factors	FGF23
Secreted Factors	FGF3
Secreted Factors	FGF4
Secreted Factors	FGF5
Secreted Factors	FGF6
Secreted Factors	FGF7
Secreted Factors	FGF7P2
Secreted Factors	FGF8
Secreted Factors	FGF9
Secreted Factors	FGFBP1
Secreted Factors	FGFBP2
Secreted Factors	FGFBP3
Secreted Factors	FIGF
Secreted Factors	FLG
Secreted Factors	FLG2
Secreted Factors	FLT3LG
Secreted Factors	FRZB
Secreted Factors	FST
Secreted Factors	FSTL1
Secreted Factors	FSTL3
Secreted Factors	GDF1
Secreted Factors	GDF10
Secreted Factors	GDF11
Secreted Factors	GDF15
Secreted Factors	GDF2
Secreted Factors	GDF3
Secreted Factors	GDF5
Secreted Factors	GDF6
Secreted Factors	GDF7
Secreted Factors	GDF9
Secreted Factors	GDNF
Secreted Factors	GH1
Secreted Factors	GH2
Secreted Factors	HBEGF
Secreted Factors	HCFC1
Secreted Factors	HCFC2
Secreted Factors	HGF
Secreted Factors	HGFAC
Secreted Factors	HHIP
Secreted Factors	HRNR
Secreted Factors	IFNA1
Secreted Factors	IFNA10
Secreted Factors	IFNA13
Secreted Factors	IFNA14
Secreted Factors	IFNA16
Secreted Factors	IFNA17
Secreted Factors	IFNA2
Secreted Factors	IFNA21
Secreted Factors	IFNA4
Secreted Factors	IFNA5
Secreted Factors	IFNA6
Secreted Factors	IFNA7
Secreted Factors	IFNA8
Secreted Factors	IFNB1
Secreted Factors	IFNE
Secreted Factors	IFNG
Secreted Factors	IFNK
Secreted Factors	IFNW1
Secreted Factors	IGF1
Secreted Factors	IGF2
Secreted Factors	IHH
Secreted Factors	IL10
Secreted Factors	IL11
Secreted Factors	IL12A
Secreted Factors	IL12B
Secreted Factors	IL13
Secreted Factors	IL15
Secreted Factors	IL16
Secreted Factors	IL17A
Secreted Factors	IL17B
Secreted Factors	IL17C
Secreted Factors	IL17D
